measSetComments,probeId,BeamStyleIndex,bsIndexTrace,TxFrequencyHz,TxFocusLocCm,maxTxVoltageVolt,ceilTxVoltageVolt,profTxVoltageVolt,totalVoltagePt,numMeasVoltage,NumTxElements,TxpgWaveformStyle,ProbeNumTxCycles,elevAperIndex,zStartDistCm,zMeasNum,IsTxChannelModulationEn,dumpSwVersion,DTxFreqIndex,VTxIndex,IsPresetCpaEn,TxPulseRle,SystemPulserSel,CpaDelayOffsetClk,zt_est
Beamstyle_4DVE_Intensity,11575444,0,0,4705900,0.5,90,90,81.34,90,90,8,2,1.5,0,0.5,45.0,0,1st,0,1,0,0.0,0,0,2.1
Beamstyle_4DVE_Intensity,11575444,0,15,4705900,1.0,90,90,81.34,90,90,13,2,1.5,0,0.5,45.0,0,1st,0,1,0,0.0,0,0,2.3
Beamstyle_4DVE_Intensity,11575444,0,15,4705900,1.5,90,90,81.34,90,90,20,2,1.5,0,0.5,45.0,0,1st,0,1,0,0.0,0,0,2.4
Beamstyle_4DVE_Intensity,11575444,0,15,4705900,2.0,90,90,81.34,90,90,26,2,1.5,0,0.5,45.0,0,1st,0,1,0,0.0,0,0,2.6
Beamstyle_4DVE_Intensity,11575444,0,15,4705900,3.0,90,90,81.34,90,90,40,2,1.5,0,0.5,45.0,0,1st,0,1,0,0.0,0,0,2.6
Beamstyle_4DVE_Intensity,11575444,0,15,4705900,4.0,90,90,81.34,90,90,53,2,1.5,0,0.5,75.0,0,1st,0,1,0,0.0,0,0,2.9
Beamstyle_4DVE_Intensity,11575444,0,15,4705900,6.0,90,90,81.34,90,90,57,2,1.5,0,0.5,75.0,0,1st,0,1,0,0.0,0,0,2.9
Beamstyle_4DVE_Intensity,11575444,0,15,4705900,8.0,90,90,81.34,90,90,59,2,1.5,0,0.5,115.0,0,1st,0,1,0,0.0,0,0,3.0
Beamstyle_4DVE_Intensity,11575444,0,15,4705900,0.5,90,90,81.34,90,90,7,2,2.0,0,0.5,45.0,0,1st,0,1,0,0.0,0,0,3.1
Beamstyle_4DVE_Intensity,11575444,0,15,4705900,1.0,90,90,81.34,90,90,13,2,2.0,0,0.5,45.0,0,1st,0,1,0,0.0,0,0,3.0
