index,BeamStyleIndex,SysTxFreqIndex,TxpgWaveformStyle,TxFocusLocCm,NumTxElements,ProbeNumTxCycles,IsTxChannelModulationEn,IsPresetCpaEn,CpaDelayOffsetClk,TxPulseRle,VTxIndex,elevAperIndex,SystemPulserSel,bsIndexTrace,TxFrequencyHz,probeId,maxTxVoltageVolt,ceilTxVoltageVolt,totalVoltagePt,numMeasVoltage,zStartDistCm,DTxFreqIndex,dumpSwVersion,measSetComments,profTxVoltageVolt,zMeasNum,zt_est
0,0,12,2,4.0,38,1.5,0,0,0,0.0,1,0,0,15,2857100,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,75.0,3.7
1,0,12,2,6.0,57,1.5,0,0,0,0.0,1,0,0,15,2857100,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,75.0,3.9
2,0,12,2,8.0,76,1.5,0,0,0,0.0,1,0,0,15,2857100,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,115.0,4.1
3,0,12,2,9.5,91,1.5,0,0,0,0.0,1,0,0,15,2857100,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.0
4,0,12,2,11.0,106,1.5,0,0,0,0.0,1,0,0,15,2857100,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.1
5,0,12,2,13.0,126,1.5,0,0,0,0.0,1,0,0,15,2857100,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.1
6,0,12,2,14.5,141,1.5,0,0,0,0.0,1,0,0,15,2857100,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.1
7,0,12,2,19.0,189,1.5,0,0,0,0.0,1,0,0,15,2857100,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.1
8,0,19,2,4.0,38,1.5,0,0,0,0.0,1,0,0,15,4444400,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,75.0,3.8
9,0,19,2,6.0,57,1.5,0,0,0,0.0,1,0,0,15,4444400,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,75.0,3.8
10,0,19,2,8.0,76,1.5,0,0,0,0.0,1,0,0,15,4444400,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,115.0,4.0
11,0,19,2,9.5,91,1.5,0,0,0,0.0,1,0,0,15,4444400,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,3.9
12,0,19,2,11.0,106,1.5,0,0,0,0.0,1,0,0,15,4444400,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.0
13,0,19,2,13.0,126,1.5,0,0,0,0.0,1,0,0,15,4444400,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.1
14,0,19,2,14.5,141,1.5,0,0,0,0.0,1,0,0,15,4444400,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.0
15,0,19,2,19.0,189,1.5,0,0,0,0.0,1,0,0,15,4444400,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.1
16,0,25,2,4.0,38,1.5,0,0,0,0.0,1,0,0,15,6666700,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,75.0,3.7
17,0,25,2,6.0,57,1.5,0,0,0,0.0,1,0,0,15,6666700,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,75.0,4.0
18,0,25,2,8.0,76,1.5,0,0,0,0.0,1,0,0,15,6666700,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,115.0,4.1
19,0,25,2,9.5,91,1.5,0,0,0,0.0,1,0,0,15,6666700,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.1
20,0,25,2,11.0,106,1.5,0,0,0,0.0,1,0,0,15,6666700,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.2
21,0,25,2,13.0,126,1.5,0,0,0,0.0,1,0,0,15,6666700,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.3
22,0,25,2,14.5,141,1.5,0,0,0,0.0,1,0,0,15,6666700,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.3
23,0,25,2,19.0,189,1.5,0,0,0,0.0,1,0,0,15,6666700,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.3
24,1,8,1,4.0,38,1.5,0,0,0,0.0,1,0,0,20,2000000,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,75.0,4.3
25,1,8,1,6.0,57,1.5,0,0,0,0.0,1,0,0,20,2000000,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,75.0,4.4
26,1,8,1,8.0,76,1.5,0,0,0,0.0,1,0,0,20,2000000,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,115.0,4.4
27,1,8,1,9.5,91,1.5,0,0,0,0.0,1,0,0,20,2000000,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.5
28,1,8,1,11.0,106,1.5,0,0,0,0.0,1,0,0,20,2000000,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.5
29,1,8,1,13.0,126,1.5,0,0,0,0.0,1,0,0,20,2000000,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.5
30,1,8,1,14.5,141,1.5,0,0,0,0.0,1,0,0,20,2000000,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.6
31,1,8,1,19.0,189,1.5,0,0,0,0.0,1,0,0,20,2000000,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.8
32,1,10,1,4.0,38,2.0,0,0,0,0.0,1,0,0,20,2500000,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,75.0,3.9
33,1,10,1,6.0,57,2.0,0,0,0,0.0,1,0,0,20,2500000,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,75.0,4.1
34,1,10,1,8.0,76,2.0,0,0,0,0.0,1,0,0,20,2500000,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,115.0,4.1
35,1,10,1,9.5,91,2.0,0,0,0,0.0,1,0,0,20,2500000,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.1
36,1,10,1,11.0,106,2.0,0,0,0,0.0,1,0,0,20,2500000,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.2
37,1,10,1,13.0,126,2.0,0,0,0,0.0,1,0,0,20,2500000,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.2
38,1,10,1,14.5,141,2.0,0,0,0,0.0,1,0,0,20,2500000,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.2
39,1,10,1,19.0,189,2.0,0,0,0,0.0,1,0,0,20,2500000,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.3
40,1,11,1,4.0,38,1.5,0,0,0,0.0,1,0,0,20,2666700,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,75.0,4.3
41,1,11,1,6.0,57,1.5,0,0,0,0.0,1,0,0,20,2666700,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,75.0,4.4
42,1,11,1,8.0,76,1.5,0,0,0,0.0,1,0,0,20,2666700,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,115.0,4.4
43,1,11,1,9.5,91,1.5,0,0,0,0.0,1,0,0,20,2666700,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.5
44,1,11,1,11.0,106,1.5,0,0,0,0.0,1,0,0,20,2666700,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.6
45,1,11,1,13.0,126,1.5,0,0,0,0.0,1,0,0,20,2666700,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.6
46,1,11,1,14.5,141,1.5,0,0,0,0.0,1,0,0,20,2666700,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.6
47,1,11,1,19.0,189,1.5,0,0,0,0.0,1,0,0,20,2666700,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.7
48,1,15,1,4.0,38,2.0,0,0,0,0.0,1,0,0,20,3636400,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,75.0,3.4
49,1,15,1,6.0,57,2.0,0,0,0,0.0,1,0,0,20,3636400,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,75.0,4.0
50,1,15,1,8.0,76,2.0,0,0,0,0.0,1,0,0,20,3636400,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,115.0,4.1
51,1,15,1,9.5,91,2.0,0,0,0,0.0,1,0,0,20,3636400,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.1
52,1,15,1,11.0,106,2.0,0,0,0,0.0,1,0,0,20,3636400,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.1
53,1,15,1,13.0,126,2.0,0,0,0,0.0,1,0,0,20,3636400,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.1
54,1,15,1,14.5,141,2.0,0,0,0,0.0,1,0,0,20,3636400,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.1
55,1,15,1,19.0,189,2.0,0,0,0,0.0,1,0,0,20,3636400,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.1
112,5,9,2,4.0,42,4.0,0,0,0,0.0,0,0,0,0,2222200,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,75.0,4.1
113,5,9,2,6.0,51,4.0,0,0,0,0.0,0,0,0,0,2222200,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,75.0,4.2
114,5,9,2,8.0,56,4.0,0,0,0,0.0,0,0,0,0,2222200,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,115.0,4.4
115,5,9,2,9.5,60,4.0,0,0,0,0.0,0,0,0,0,2222200,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.6
116,5,9,2,11.0,62,4.0,0,0,0,0.0,0,0,0,0,2222200,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.1
117,5,9,2,13.0,65,4.0,0,0,0,0.0,0,0,0,0,2222200,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,3.9
118,5,9,2,14.5,67,4.0,0,0,0,0.0,0,0,0,0,2222200,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.0
119,5,9,2,19.0,71,4.0,0,0,0,0.0,0,0,0,0,2222200,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.0
120,5,10,2,4.0,42,4.0,0,0,0,0.0,0,0,0,0,2500000,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,75.0,4.0
121,5,10,2,6.0,51,4.0,0,0,0,0.0,0,0,0,0,2500000,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,75.0,4.1
