measSetComments,probeId,BeamStyleIndex,bsIndexTrace,TxFrequencyHz,TxFocusLocCm,maxTxVoltageVolt,ceilTxVoltageVolt,profTxVoltageVolt,totalVoltagePt,numMeasVoltage,NumTxElements,TxpgWaveformStyle,ProbeNumTxCycles,elevAperIndex,zStartDistCm,zMeasNum,IsTxChannelModulationEn,dumpSwVersion,DTxFreqIndex,VTxIndex,IsPresetCpaEn,TxPulseRle,SystemPulserSel,CpaDelayOffsetClk,zt_est
Beamstyle_10L4_Intensity,10787114,0,0,6666700,1.0,90,90,56.04,20,8,25,2,1.5,0,0.5,45.0,1,1,0,1,0,0,0,0,1.9
Beamstyle_10L4_Intensity,10787114,0,0,6666700,1.5,90,90,56.04,20,8,38,2,1.5,0,0.5,45.0,1,1,0,1,0,0,0,0,1.2
Beamstyle_10L4_Intensity,10787114,0,0,6666700,2.0,90,90,56.04,20,8,50,2,1.5,0,0.5,45.0,1,1,0,1,0,0,0,0,2.9
Beamstyle_10L4_Intensity,10787114,0,0,6666700,2.5,90,90,56.04,20,8,63,2,1.5,0,0.5,45.0,1,1,0,1,0,0,0,0,1.9
Beamstyle_10L4_Intensity,10787114,0,15,6666700,3.0,90,90,56.04,20,8,75,2,1.5,0,0.5,45.0,1,1,0,1,0,0,0,0,2.4
Beamstyle_10L4_Intensity,10787114,0,0,6666700,4.0,90,90,56.04,20,8,100,2,1.5,1,0.5,75.0,1,1,0,1,0,0,0,0,3.2
Beamstyle_10L4_Intensity,10787114,0,0,6666700,5.0,90,90,56.04,20,8,125,2,1.5,1,0.5,75.0,1,1,0,1,0,0,0,0,3.1
Beamstyle_10L4_Intensity,10787114,0,0,6666700,7.0,90,90,56.04,20,8,175,2,1.5,1,0.5,115.0,1,1,0,1,0,0,0,0,3.2
Beamstyle_10L4_Intensity,10787114,0,0,6666700,9.0,90,90,56.04,20,8,192,2,1.5,1,0.5,115.0,1,1,0,1,0,0,0,0,2.4
Beamstyle_10L4_Intensity,10787114,0,0,6666700,12.0,90,90,56.04,20,8,192,2,1.5,1,0.5,135.0,1,1,0,1,0,0,0,0,2.4
Beamstyle_10L4_Intensity,10787114,0,0,8888900,1.0,90,90,56.04,20,8,25,2,1.5,0,0.5,45.0,1,1,0,1,0,0,0,0,2.3
Beamstyle_10L4_Intensity,10787114,0,0,8888900,1.5,90,90,56.04,20,8,38,2,1.5,0,0.5,45.0,1,1,0,1,0,0,0,0,2.4
Beamstyle_10L4_Intensity,10787114,0,0,8888900,2.0,90,90,56.04,20,8,50,2,1.5,0,0.5,45.0,1,1,0,1,0,0,0,0,2.3
Beamstyle_10L4_Intensity,10787114,0,0,8888900,2.5,90,90,56.04,20,8,63,2,1.5,0,0.5,45.0,1,1,0,1,0,0,0,0,2.9
Beamstyle_10L4_Intensity,10787114,0,15,8888900,3.0,90,90,56.04,20,8,75,2,1.5,0,0.5,45.0,1,1,0,1,0,0,0,0,4.1
Beamstyle_10L4_Intensity,10787114,0,0,8888900,4.0,90,90,56.04,20,8,100,2,1.5,1,0.5,75.0,1,1,0,1,0,0,0,0,4.4
Beamstyle_10L4_Intensity,10787114,0,0,8888900,5.0,90,90,56.04,20,8,125,2,1.5,1,0.5,75.0,1,1,0,1,0,0,0,0,3.0
Beamstyle_10L4_Intensity,10787114,0,0,8888900,7.0,90,90,56.04,20,8,175,2,1.5,1,0.5,115.0,1,1,0,1,0,0,0,0,3.0
Beamstyle_10L4_Intensity,10787114,0,0,8888900,9.0,90,90,56.04,20,8,192,2,1.5,1,0.5,115.0,1,1,0,1,0,0,0,0,2.4
Beamstyle_10L4_Intensity,10787114,0,0,8888900,12.0,90,90,56.04,20,8,192,2,1.5,1,0.5,135.0,1,1,0,1,0,0,0,0,2.4
Beamstyle_10L4_Intensity,10787114,0,0,11428600,1.0,90,90,56.04,20,8,25,2,1.5,0,0.5,45.0,1,1,0,1,0,0,0,0,2.4
Beamstyle_10L4_Intensity,10787114,0,0,11428600,1.5,90,90,56.04,20,8,38,2,1.5,0,0.5,45.0,1,1,0,1,0,0,0,0,2.4
Beamstyle_10L4_Intensity,10787114,0,0,11428600,2.0,90,90,56.04,20,8,50,2,1.5,0,0.5,45.0,1,1,0,1,0,0,0,0,2.4
Beamstyle_10L4_Intensity,10787114,0,0,11428600,2.5,90,90,56.04,20,8,63,2,1.5,0,0.5,45.0,1,1,0,1,0,0,0,0,3.4
Beamstyle_10L4_Intensity,10787114,0,0,11428600,3.0,90,90,56.04,20,8,75,2,1.5,0,0.5,45.0,1,1,0,1,0,0,0,0,4.1
Beamstyle_10L4_Intensity,10787114,0,0,11428600,4.0,90,90,56.04,20,8,100,2,1.5,1,0.5,75.0,1,1,0,1,0,0,0,0,4.4
Beamstyle_10L4_Intensity,10787114,0,0,11428600,5.0,90,90,56.04,20,8,125,2,1.5,1,0.5,75.0,1,1,0,1,0,0,0,0,3.0
Beamstyle_10L4_Intensity,10787114,0,0,11428600,7.0,90,90,56.04,20,8,175,2,1.5,1,0.5,115.0,1,1,0,1,0,0,0,0,3.1
Beamstyle_10L4_Intensity,10787114,5,0,4000000,1.0,90,90,56.04,20,8,17,1,4.0,0,0.5,45.0,0,1,0,0,0,0,0,0,1.2
Beamstyle_10L4_Intensity,10787114,5,0,4000000,1.5,90,90,56.04,20,8,25,1,4.0,0,0.5,45.0,0,1,0,0,0,0,0,0,0.9
Beamstyle_10L4_Intensity,10787114,5,10,4000000,2.0,90,90,56.04,20,8,33,1,4.0,0,0.5,45.0,0,1,0,0,0,0,0,0,1.1
Beamstyle_10L4_Intensity,10787114,5,10,4000000,2.5,90,90,56.04,20,8,42,1,4.0,0,0.5,45.0,0,1,0,0,0,0,0,0,1.1
Beamstyle_10L4_Intensity,10787114,5,10,4000000,3.0,90,90,56.04,20,8,50,1,4.0,0,0.5,45.0,0,1,0,0,0,0,0,0,1.2
Beamstyle_10L4_Intensity,10787114,5,10,4000000,4.0,90,90,56.04,20,8,67,1,4.0,0,0.5,75.0,0,1,0,0,0,0,0,0,1.9
Beamstyle_10L4_Intensity,10787114,5,0,4000000,5.0,90,90,56.04,20,8,83,1,4.0,1,0.5,75.0,0,1,0,0,0,0,0,0,3.0
Beamstyle_10L4_Intensity,10787114,5,0,4000000,7.0,90,90,56.04,20,8,117,1,4.0,1,0.5,115.0,0,1,0,0,0,0,0,0,3.4
Beamstyle_10L4_Intensity,10787114,5,0,4000000,9.0,90,90,56.04,20,8,150,1,4.0,1,0.5,115.0,0,1,0,0,0,0,0,0,3.3
Beamstyle_10L4_Intensity,10787114,5,0,4000000,12.0,90,90,56.04,20,8,192,1,4.0,1,0.5,135.0,0,1,0,0,0,0,0,0,3.3
Beamstyle_10L4_Intensity,10787114,5,0,5333300,1.0,90,90,56.04,20,8,17,1,4.0,0,0.5,45.0,0,1,0,0,0,0,0,0,1.2
Beamstyle_10L4_Intensity,10787114,5,0,5333300,1.5,90,90,56.04,20,8,25,1,4.0,0,0.5,45.0,0,1,0,0,0,0,0,0,1.3
Beamstyle_10L4_Intensity,10787114,5,10,5333300,2.0,90,90,56.04,20,8,33,1,4.0,0,0.5,45.0,0,1,0,0,0,0,0,0,1.2
Beamstyle_10L4_Intensity,10787114,5,10,5333300,2.5,90,90,56.04,20,8,42,1,4.0,0,0.5,45.0,0,1,0,0,0,0,0,0,1.2
Beamstyle_10L4_Intensity,10787114,5,10,5333300,3.0,90,90,56.04,20,8,50,1,4.0,0,0.5,45.0,0,1,0,0,0,0,0,0,1.3
Beamstyle_10L4_Intensity,10787114,5,10,5333300,4.0,90,90,56.04,20,8,67,1,4.0,0,0.5,75.0,0,1,0,0,0,0,0,0,1.9
Beamstyle_10L4_Intensity,10787114,5,0,5333300,5.0,90,90,56.04,20,8,83,1,4.0,1,0.5,75.0,0,1,0,0,0,0,0,0,2.2
Beamstyle_10L4_Intensity,10787114,5,0,5333300,7.0,90,90,56.04,20,8,117,1,4.0,1,0.5,115.0,0,1,0,0,0,0,0,0,3.3
Beamstyle_10L4_Intensity,10787114,5,0,5333300,9.0,90,90,56.04,20,8,150,1,4.0,1,0.5,115.0,0,1,0,0,0,0,0,0,3.4
Beamstyle_10L4_Intensity,10787114,5,0,5333300,12.0,90,90,56.04,20,8,192,1,4.0,1,0.5,135.0,0,1,0,0,0,0,0,0,3.4
Beamstyle_10L4_Intensity,10787114,5,0,6153800,1.0,90,90,56.04,20,8,17,1,4.0,0,0.5,45.0,0,1,0,0,0,0,0,0,1.2
Beamstyle_10L4_Intensity,10787114,5,0,6153800,1.5,90,90,56.04,20,8,25,1,4.0,0,0.5,45.0,0,1,0,0,0,0,0,0,1.4
Beamstyle_10L4_Intensity,10787114,5,10,6153800,2.0,90,90,56.04,20,8,33,1,4.0,0,0.5,45.0,0,1,0,0,0,0,0,0,1.4
Beamstyle_10L4_Intensity,10787114,5,10,6153800,2.5,90,90,56.04,20,8,42,1,4.0,0,0.5,45.0,0,1,0,0,0,0,0,0,1.6
Beamstyle_10L4_Intensity,10787114,5,10,6153800,3.0,90,90,56.04,20,8,50,1,4.0,0,0.5,45.0,0,1,0,0,0,0,0,0,3.0
Beamstyle_10L4_Intensity,10787114,5,10,6153800,4.0,90,90,56.04,20,8,67,1,4.0,0,0.5,75.0,0,1,0,0,0,0,0,0,1.9
Beamstyle_10L4_Intensity,10787114,5,0,6153800,5.0,90,90,56.04,20,8,83,1,4.0,1,0.5,75.0,0,1,0,0,0,0,0,0,2.6
Beamstyle_10L4_Intensity,10787114,5,0,6153800,7.0,90,90,56.04,20,8,117,1,4.0,1,0.5,115.0,0,1,0,0,0,0,0,0,3.7
Beamstyle_10L4_Intensity,10787114,5,0,6153800,9.0,90,90,56.04,20,8,150,1,4.0,1,0.5,115.0,0,1,0,0,0,0,0,0,2.9
Beamstyle_10L4_Intensity,10787114,5,0,6153800,12.0,90,90,56.04,20,8,192,1,4.0,1,0.5,135.0,0,1,0,0,0,0,0,0,2.5
Beamstyle_10L4_Intensity,10787114,5,0,7272700,1.0,90,90,56.04,20,8,17,1,4.0,0,0.5,45.0,0,1,0,0,0,0,0,0,1.9
Beamstyle_10L4_Intensity,10787114,5,0,7272700,1.5,90,90,56.04,20,8,25,1,4.0,0,0.5,45.0,0,1,0,0,0,0,0,0,1.6
Beamstyle_10L4_Intensity,10787114,5,10,7272700,2.0,90,90,56.04,20,8,33,1,4.0,0,0.5,45.0,0,1,0,0,0,0,0,0,3.0
