,Mode,SubModeIndex,BeamStyleIndex,SysTxFreqIndex,TxpgWaveformStyle,TxFocusLocCm,NumTxElements,ProbeNumTxCycles,IsTxChannelModulationEn,IsPresetCpaEn,CpaDelayOffsetClk,ElevAperIndex,SystemPulserSel,VTxIndex,TxPulseRle
0,B,2,1,3,1,2,22,2.0,0,0,0,0,0.0,1,0.0
1,B,2,1,3,1,4,43,2.0,0,0,0,0,0.0,1,0.0
2,B,2,1,3,1,6,65,2.0,0,0,0,0,0.0,1,0.0
3,B,2,1,3,1,8,70,2.0,0,0,0,0,0.0,1,0.0
4,B,2,1,3,1,10,70,2.0,0,0,0,0,0.0,1,0.0
5,B,2,1,3,1,12,70,2.0,0,0,0,0,0.0,1,0.0
6,B,2,1,3,1,15,70,2.0,0,0,0,0,0.0,1,0.0
7,B,2,1,3,1,18,70,2.0,0,0,0,0,0.0,1,0.0
8,B,3,1,3,1,2,22,2.0,1,0,0,0,0.0,1,0.0
9,B,3,1,3,1,4,43,2.0,1,0,0,0,0.0,1,0.0
10,B,3,1,3,1,6,65,2.0,1,0,0,0,0.0,1,0.0
11,B,3,1,3,1,8,87,2.0,1,0,0,0,0.0,1,0.0
12,B,3,1,3,1,10,96,2.0,1,0,0,0,0.0,1,0.0
13,B,3,1,3,1,12,96,2.0,1,0,0,0,0.0,1,0.0
14,B,3,1,3,1,15,96,2.0,1,0,0,0,0.0,1,0.0
15,B,3,1,3,1,18,96,2.0,1,0,0,0,0.0,1,0.0
16,B,3,1,3,1,2,22,2.0,1,0,0,0,0.0,1,0.0
17,B,3,1,3,1,4,44,2.0,1,0,0,0,0.0,1,0.0
18,B,3,1,3,1,6,65,2.0,1,0,0,0,0.0,1,0.0
19,B,3,1,3,1,8,88,2.0,1,0,0,0,0.0,1,0.0
20,B,3,1,3,1,10,97,2.0,1,0,0,0,0.0,1,0.0
21,B,3,1,3,1,12,97,2.0,1,0,0,0,0.0,1,0.0
22,B,3,1,3,1,15,97,2.0,1,0,0,0,0.0,1,0.0
23,B,3,1,3,1,18,97,2.0,1,0,0,0,0.0,1,0.0
24,B,2,1,5,1,2,22,2.0,0,0,0,0,0.0,1,0.0
25,B,2,1,5,1,4,43,2.0,0,0,0,0,0.0,1,0.0
26,B,2,1,5,1,6,65,2.0,0,0,0,0,0.0,1,0.0
27,B,2,1,5,1,8,70,2.0,0,0,0,0,0.0,1,0.0
28,B,2,1,5,1,10,70,2.0,0,0,0,0,0.0,1,0.0
29,B,2,1,5,1,12,70,2.0,0,0,0,0,0.0,1,0.0
30,B,2,1,5,1,15,70,2.0,0,0,0,0,0.0,1,0.0
31,B,2,1,5,1,18,70,2.0,0,0,0,0,0.0,1,0.0
32,B,3,1,5,1,2,22,2.0,1,0,0,0,0.0,1,0.0
33,B,3,1,5,1,4,43,2.0,1,0,0,0,0.0,1,0.0
34,B,3,1,5,1,6,65,2.0,1,0,0,0,0.0,1,0.0
35,B,3,1,5,1,8,87,2.0,1,0,0,0,0.0,1,0.0
36,B,3,1,5,1,10,96,2.0,1,0,0,0,0.0,1,0.0
37,B,3,1,5,1,12,96,2.0,1,0,0,0,0.0,1,0.0
38,B,3,1,5,1,15,96,2.0,1,0,0,0,0.0,1,0.0
39,B,3,1,5,1,18,96,2.0,1,0,0,0,0.0,1,0.0
40,B,3,1,7,1,2,30,2.0,0,1,0,0,0.0,1,0.0
41,B,3,1,7,1,4,44,2.0,0,1,0,0,0.0,1,0.0
42,B,3,1,7,1,6,60,2.0,0,1,0,0,0.0,1,0.0
43,B,3,1,7,1,8,64,2.0,0,1,0,0,0.0,1,0.0
44,B,3,1,7,1,10,70,2.0,0,1,0,0,0.0,1,0.0
45,B,3,1,7,1,12,70,2.0,0,1,0,0,0.0,1,0.0
46,B,3,1,7,1,15,70,2.0,0,1,0,0,0.0,1,0.0
47,B,3,1,7,1,18,70,2.0,0,1,0,0,0.0,1,0.0
48,B,2,1,7,1,2,30,2.0,0,0,0,0,0.0,1,0.0
49,B,2,1,7,1,4,44,2.0,0,0,0,0,0.0,1,0.0
50,B,2,1,7,1,6,60,2.0,0,0,0,0,0.0,1,0.0
51,B,2,1,7,1,8,64,2.0,0,0,0,0,0.0,1,0.0
52,B,2,1,7,1,10,70,2.0,0,0,0,0,0.0,1,0.0
53,B,2,1,7,1,12,70,2.0,0,0,0,0,0.0,1,0.0
