ProbeName	Mode	ExamName	SubModeIndex	BeamStyleIndex	SysTxFreqIndex	TxpgWaveformStyle	TxFocusLocCm	NumTxElements	ProbeNumTxCycles	IsTxChannelModulationEn	IsPresetCpaEn	CpaDelayOffsetClk	TxPulseRle	TxpgWaveformLut	ElevAperIndex	SystemPulserSel	VTxIndex
BPXCC	B	Prostate	0	0	21	1	0.5	6	2	0	0	0	null	null	0	null	1
BPXCC	B	Prostate	0	0	21	1	1	12	2	0	0	0	null	null	0	null	1
BPXCC	B	Prostate	0	0	21	1	1.5	18	2	0	0	0	null	null	0	null	1
BPXCC	B	Prostate	0	0	21	1	2	24	2	0	0	0	null	null	0	null	1
BPXCC	B	Prostate	0	0	21	1	3	32	2	0	0	0	null	null	0	null	1
BPXCC	B	Prostate	0	0	21	1	4	44	2	0	0	0	null	null	0	null	1
BPXCC	B	Prostate	0	0	21	1	6	51	2	0	0	0	null	null	0	null	1
BPXCC	B	Prostate	0	0	21	1	8	53	2	0	0	0	null	null	0	null	1
BPXCC	B	Prostate	0	0	24	2	0.5	7	1.5	0	0	0	null	null	0	null	1
BPXCC	B	Prostate	0	0	24	2	1	14	1.5	0	0	0	null	null	0	null	1
BPXCC	B	Prostate	0	0	24	2	1.5	21	1.5	0	0	0	null	null	0	null	1
BPXCC	B	Prostate	0	0	24	2	2	28	1.5	0	0	0	null	null	0	null	1
BPXCC	B	Prostate	0	0	24	2	3	37	1.5	0	0	0	null	null	0	null	1
BPXCC	B	Prostate	0	0	24	2	4	48	1.5	0	0	0	null	null	0	null	1
BPXCC	B	Prostate	0	0	24	2	6	51	1.5	0	0	0	null	null	0	null	1
BPXCC	B	Prostate	0	0	24	2	8	53	1.5	0	0	0	null	null	0	null	1
BPXCC	B	Prostate	0	0	26	2	0.5	7	2	0	0	0	null	null	0	null	1
BPXCC	B	Prostate	0	0	26	2	1	14	2	0	0	0	null	null	0	null	1
BPXCC	B	Prostate	0	0	26	2	1.5	21	2	0	0	0	null	null	0	null	1
BPXCC	B	Prostate	0	0	26	2	2	28	2	0	0	0	null	null	0	null	1
BPXCC	B	Prostate	0	0	26	2	3	32	2	0	0	0	null	null	0	null	1
BPXCC	B	Prostate	0	0	26	2	4	42	2	0	0	0	null	null	0	null	1
BPXCC	B	Prostate	0	0	26	2	6	44	2	0	0	0	null	null	0	null	1
BPXCC	B	Prostate	0	0	26	2	8	46	2	0	0	0	null	null	0	null	1
BPXCC	B	Prostate	1	1	13	1	0.5	5	2	0	0	0	null	null	0	null	1
BPXCC	B	Prostate	1	1	13	1	1	10	2	0	0	0	null	null	0	null	1
BPXCC	B	Prostate	1	1	13	1	1.5	16	2	0	0	0	null	null	0	null	1
BPXCC	B	Prostate	1	1	13	1	2	21	2	0	0	0	null	null	0	null	1
BPXCC	B	Prostate	1	1	13	1	3	37	2	0	0	0	null	null	0	null	1
BPXCC	B	Prostate	1	1	13	1	4	42	2	0	0	0	null	null	0	null	1
BPXCC	B	Prostate	1	1	13	1	6	44	2	0	0	0	null	null	0	null	1
BPXCC	B	Prostate	1	1	13	1	8	46	2	0	0	0	null	null	0	null	1
BPXCC	B	Prostate	1	1	15	1	0.5	5	2	0	0	0	null	null	0	null	1
BPXCC	B	Prostate	1	1	15	1	1	9	2	0	0	0	null	null	0	null	1
BPXCC	B	Prostate	1	1	15	1	1.5	14	2	0	0	0	null	null	0	null	1
BPXCC	B	Prostate	1	1	15	1	2	19	2	0	0	0	null	null	0	null	1
BPXCC	B	Prostate	1	1	15	1	3	32	2	0	0	0	null	null	0	null	1
BPXCC	B	Prostate	1	1	15	1	4	42	2	0	0	0	null	null	0	null	1
