,measSetComments,probeId,OrgBeamstyleIdx,bsIndexTrace,TxFrequencyHz,TxFocusLocCm,maxTxVoltageVolt,ceilTxVoltageVolt,profTxVoltageVolt,totalVoltagePt,numMeasVoltage,NumTxElements,TxpgWaveformStyle,ProbeNumTxCycles,ElevAperIndex,zStartDistCm,zMeasNum,IsTxChannelModulationEn,dumpSwVersion,DTxFreqIndex,VTxIndex,IsPresetCpaEn,TxPulseRle,SystemPulserSel,CpaDelayOffsetClk,groupIndex,zt_est,probeName,Mode,SubModeIndex,BeamStyleIndex,SysTxFreqIndex,isDuplicate
0,Beamstyle_9C2_Intensity,11503103,1,20,2222200,4.0,90,90,56.04,20,10,45,1,2.0,0,0.5,75.0,0,2024-06-27,0,1,0,,0,0,1,3.2,9C2,B,1,20111,9,1
1,Beamstyle_9C2_Intensity,11503103,1,20,2222200,6.0,90,90,56.04,20,10,55,1,2.0,0,0.5,75.0,0,2024-06-27,0,1,0,,0,0,1,3.1,9C2,B,1,20111,9,1
2,Beamstyle_9C2_Intensity,11503103,1,20,2222200,8.0,90,90,56.04,20,10,61,1,2.0,0,0.5,115.0,0,2024-06-27,0,1,0,,0,0,1,3.2,9C2,B,1,20111,9,1
3,Beamstyle_9C2_Intensity,11503103,1,20,2222200,9.5,90,90,56.04,20,10,65,1,2.0,0,0.5,135.0,0,2024-06-27,0,1,0,,0,0,1,3.2,9C2,B,1,20111,9,1
4,Beamstyle_9C2_Intensity,11503103,1,20,2222200,11.0,90,90,56.04,20,10,68,1,2.0,0,0.5,135.0,0,2024-06-27,0,1,0,,0,0,1,3.3,9C2,B,1,20111,9,1
5,Beamstyle_9C2_Intensity,11503103,1,20,2222200,13.0,90,90,56.04,20,10,71,1,2.0,0,0.5,135.0,0,2024-06-27,0,1,0,,0,0,1,3.2,9C2,B,1,20111,9,1
6,Beamstyle_9C2_Intensity,11503103,1,20,2222200,14.5,90,90,56.04,20,10,72,1,2.0,0,0.5,135.0,0,2024-06-27,0,1,0,,0,0,1,3.2,9C2,B,1,20111,9,1
7,Beamstyle_9C2_Intensity,11503103,1,20,2222200,19.0,90,90,56.04,20,10,77,1,2.0,0,0.5,135.0,0,2024-06-27,0,1,0,,0,0,1,3.3,9C2,B,1,20111,9,1
8,Beamstyle_9C2_Intensity,11503103,1,20,2222200,4.0,90,90,56.04,20,10,83,1,2.0,0,0.5,75.0,1,2024-06-27,0,1,0,,0,0,2,3.2,9C2,B,1,20111,9,1
9,Beamstyle_9C2_Intensity,11503103,1,20,2222200,6.0,90,90,56.04,20,10,100,1,2.0,0,0.5,75.0,1,2024-06-27,0,1,0,,0,0,2,3.2,9C2,B,1,20111,9,1
10,Beamstyle_9C2_Intensity,11503103,1,20,2222200,8.0,90,90,56.04,20,10,111,1,2.0,0,0.5,115.0,1,2024-06-27,0,1,0,,0,0,2,3.2,9C2,B,1,20111,9,1
11,Beamstyle_9C2_Intensity,11503103,1,20,2222200,9.5,90,90,56.04,20,10,117,1,2.0,0,0.5,135.0,1,2024-06-27,0,1,0,,0,0,2,3.3,9C2,B,1,20111,9,1
12,Beamstyle_9C2_Intensity,11503103,1,20,2222200,11.0,90,90,56.04,20,10,122,1,2.0,0,0.5,135.0,1,2024-06-27,0,1,0,,0,0,2,3.3,9C2,B,1,20111,9,1
13,Beamstyle_9C2_Intensity,11503103,1,20,2222200,13.0,90,90,56.04,20,10,127,1,2.0,0,0.5,135.0,1,2024-06-27,0,1,0,,0,0,2,3.4,9C2,B,1,20111,9,1
14,Beamstyle_9C2_Intensity,11503103,1,20,2222200,14.5,90,90,56.04,20,10,131,1,2.0,0,0.5,135.0,1,2024-06-27,0,1,0,,0,0,2,3.5,9C2,B,1,20111,9,1
15,Beamstyle_9C2_Intensity,11503103,1,20,2222200,19.0,90,90,56.04,20,10,138,1,2.0,0,0.5,135.0,1,2024-06-27,0,1,0,,0,0,2,3.5,9C2,B,1,20111,9,1
16,Beamstyle_9C2_Intensity,11503103,1,20,2857100,4.0,90,90,56.04,20,10,45,1,1.5,0,0.5,75.0,0,2024-06-27,0,1,0,,0,0,3,3.0,9C2,B,1,15111,12,1
17,Beamstyle_9C2_Intensity,11503103,1,20,2857100,6.0,90,90,56.04,20,10,55,1,1.5,0,0.5,75.0,0,2024-06-27,0,1,0,,0,0,3,3.0,9C2,B,1,15111,12,1
18,Beamstyle_9C2_Intensity,11503103,1,20,2857100,8.0,90,90,56.04,20,10,61,1,1.5,0,0.5,115.0,0,2024-06-27,0,1,0,,0,0,3,3.1,9C2,B,1,15111,12,1
19,Beamstyle_9C2_Intensity,11503103,1,20,2857100,9.5,90,90,56.04,20,10,65,1,1.5,0,0.5,135.0,0,2024-06-27,0,1,0,,0,0,3,3.1,9C2,B,1,15111,12,1
20,Beamstyle_9C2_Intensity,11503103,1,20,2857100,11.0,90,90,56.04,20,10,68,1,1.5,0,0.5,135.0,0,2024-06-27,0,1,0,,0,0,3,3.2,9C2,B,1,15111,12,1
21,Beamstyle_9C2_Intensity,11503103,1,20,2857100,13.0,90,90,56.04,20,10,71,1,1.5,0,0.5,135.0,0,2024-06-27,0,1,0,,0,0,3,3.2,9C2,B,1,15111,12,1
22,Beamstyle_9C2_Intensity,11503103,1,20,2857100,14.5,90,90,56.04,20,10,72,1,1.5,0,0.5,135.0,0,2024-06-27,0,1,0,,0,0,3,3.3,9C2,B,1,15111,12,1
23,Beamstyle_9C2_Intensity,11503103,1,20,2857100,19.0,90,90,56.04,20,10,77,1,1.5,0,0.5,135.0,0,2024-06-27,0,1,0,,0,0,3,3.3,9C2,B,1,15111,12,1
24,Beamstyle_9C2_Intensity,11503103,1,20,2857100,4.0,90,90,56.04,20,10,83,1,1.5,0,0.5,75.0,1,2024-06-27,0,1,0,,0,0,4,3.0,9C2,B,1,15111,12,1
25,Beamstyle_9C2_Intensity,11503103,1,20,2857100,6.0,90,90,56.04,20,10,100,1,1.5,0,0.5,75.0,1,2024-06-27,0,1,0,,0,0,4,3.1,9C2,B,1,15111,12,1
26,Beamstyle_9C2_Intensity,11503103,1,20,2857100,8.0,90,90,56.04,20,10,111,1,1.5,0,0.5,115.0,1,2024-06-27,0,1,0,,0,0,4,3.1,9C2,B,1,15111,12,1
27,Beamstyle_9C2_Intensity,11503103,1,20,2857100,9.5,90,90,56.04,20,10,117,1,1.5,0,0.5,135.0,1,2024-06-27,0,1,0,,0,0,4,3.2,9C2,B,1,15111,12,1
28,Beamstyle_9C2_Intensity,11503103,1,20,2857100,11.0,90,90,56.04,20,10,122,1,1.5,0,0.5,135.0,1,2024-06-27,0,1,0,,0,0,4,3.3,9C2,B,1,15111,12,1
29,Beamstyle_9C2_Intensity,11503103,1,20,2857100,13.0,90,90,56.04,20,10,127,1,1.5,0,0.5,135.0,1,2024-06-27,0,1,0,,0,0,4,3.4,9C2,B,1,15111,12,1
30,Beamstyle_9C2_Intensity,11503103,1,20,2857100,14.5,90,90,56.04,20,10,131,1,1.5,0,0.5,135.0,1,2024-06-27,0,1,0,,0,0,4,3.4,9C2,B,1,15111,12,1
31,Beamstyle_9C2_Intensity,11503103,1,20,2857100,19.0,90,90,56.04,20,10,138,1,1.5,0,0.5,135.0,1,2024-06-27,0,1,0,,0,0,4,3.4,9C2,B,1,15111,12,1
