,Mode,SubModeIndex,BeamStyleIndex,SysTxFreqIndex,TxpgWaveformStyle,TxFocusLocCm,NumTxElements,ProbeNumTxCycles,IsTxChannelModulationEn,IsPresetCpaEn,CpaDelayOffsetClk,ElevAperIndex,SystemPulserSel,VTxIndex,TxPulseRle,isDuplicate,groupIndex,probeId,probeName,maxTxVoltageVolt,ceilTxVoltageVolt,totalVoltagePt,zStartDistCm,DTxFreqIndex,dumpSwVersion,measSetComments,numMeasVoltage,OrgBeamstyleIdx,bsIndexTrace,TxFrequencyHz,profTxVoltageVolt,zMeasNum
0,B,0,0,21,1,0.5,6,2.0,0,0,0,0,,1,,1.0,1,11014154,5P1,90,90,20,0.5,0,2024-06-19,Beamstyle_5P1_Intensity,10,0,15,5000000,56.04,45.0
1,B,0,0,21,1,1.0,12,2.0,0,0,0,0,,1,,1.0,1,11014154,5P1,90,90,20,0.5,0,2024-06-19,Beamstyle_5P1_Intensity,10,0,15,5000000,56.04,45.0
2,B,0,0,21,1,1.5,18,2.0,0,0,0,0,,1,,1.0,1,11014154,5P1,90,90,20,0.5,0,2024-06-19,Beamstyle_5P1_Intensity,10,0,15,5000000,56.04,45.0
3,B,0,0,21,1,2.0,24,2.0,0,0,0,0,,1,,1.0,1,11014154,5P1,90,90,20,0.5,0,2024-06-19,Beamstyle_5P1_Intensity,10,0,15,5000000,56.04,45.0
4,B,0,0,21,1,3.0,32,2.0,0,0,0,0,,1,,1.0,1,11014154,5P1,90,90,20,0.5,0,2024-06-19,Beamstyle_5P1_Intensity,10,0,15,5000000,56.04,45.0
5,B,0,0,21,1,4.0,44,2.0,0,0,0,0,,1,,1.0,1,11014154,5P1,90,90,20,0.5,0,2024-06-19,Beamstyle_5P1_Intensity,10,0,15,5000000,56.04,75.0
6,B,0,0,21,1,6.0,51,2.0,0,0,0,0,,1,,1.0,1,11014154,5P1,90,90,20,0.5,0,2024-06-19,Beamstyle_5P1_Intensity,10,0,15,5000000,56.04,75.0
7,B,0,0,21,1,8.0,53,2.0,0,0,0,0,,1,,1.0,1,11014154,5P1,90,90,20,0.5,0,2024-06-19,Beamstyle_5P1_Intensity,10,0,15,5000000,56.04,115.0
8,B,0,0,24,2,0.5,7,1.5,0,0,0,0,,1,,1.0,2,11014154,5P1,90,90,20,0.5,0,2024-06-19,Beamstyle_5P1_Intensity,10,0,15,6153800,56.04,45.0
9,B,0,0,24,2,1.0,14,1.5,0,0,0,0,,1,,1.0,2,11014154,5P1,90,90,20,0.5,0,2024-06-19,Beamstyle_5P1_Intensity,10,0,15,6153800,56.04,45.0
