,BeamStyleIndex,SysTxFreqIndex,TxpgWaveformStyle,TxFocusLocCm,NumTxElements,ProbeNumTxCycles,IsTxChannelModulationEn,IsPresetCpaEn,CpaDelayOffsetClk,TxPulseRle,TxpgWaveformLut,SystemPulserSel,VTxIndex,elevAperIndex
0,10210,20,2,1.0,25,1.0,1,0,0,0,0,0,1,0
1,10210,20,2,1.5,38,1.0,1,0,0,0,0,0,1,0
2,10210,20,2,2.0,50,1.0,1,0,0,0,0,0,1,0
3,10210,20,2,2.5,63,1.0,1,0,0,0,0,0,1,0
4,10210,20,2,3.0,75,1.0,1,0,0,0,0,0,1,0
5,10210,20,2,4.0,100,1.0,1,0,0,0,0,0,1,1
6,10210,20,2,5.0,125,1.0,1,0,0,0,0,0,1,1
7,10210,20,2,7.0,175,1.0,1,0,0,0,0,0,1,1
8,0,25,2,1.0,25,1.5,1,0,0,0,0,0,1,0
9,0,25,2,1.5,38,1.5,1,0,0,0,0,0,1,0
10,0,25,2,2.0,50,1.5,1,0,0,0,0,0,1,0
11,0,25,2,2.5,63,1.5,1,0,0,0,0,0,1,0
12,0,25,2,3.0,75,1.5,1,0,0,0,0,0,1,0
13,0,25,2,4.0,100,1.5,1,0,0,0,0,0,1,1
14,0,25,2,5.0,125,1.5,1,0,0,0,0,0,1,1
15,0,25,2,7.0,175,1.5,1,0,0,0,0,0,1,1
16,0,28,2,1.0,25,1.5,1,0,0,0,0,0,1,0
17,0,28,2,1.5,38,1.5,1,0,0,0,0,0,1,0
18,0,28,2,2.0,50,1.5,1,0,0,0,0,0,1,0
19,0,28,2,2.5,63,1.5,1,0,0,0,0,0,1,0
20,0,28,2,3.0,75,1.5,1,0,0,0,0,0,1,0
21,0,28,2,4.0,100,1.5,1,0,0,0,0,0,1,1
22,0,28,2,5.0,125,1.5,1,0,0,0,0,0,1,1
23,0,28,2,7.0,175,1.5,1,0,0,0,0,0,1,1
24,1011,15,0,1.0,20,1.0,1,0,0,1.3410:0.1590:-1.3410:0.1590,0,0,1,0
25,1011,15,0,1.5,29,1.0,1,0,0,1.3410:0.1590:-1.3410:0.1590,0,0,1,0
26,1011,15,0,2.0,38,1.0,1,0,0,1.3410:0.1590:-1.3410:0.1590,0,0,1,0
27,1011,15,0,2.5,48,1.0,1,0,0,1.3410:0.1590:-1.3410:0.1590,0,0,1,0
28,1011,15,0,3.0,58,1.0,1,0,0,1.3410:0.1590:-1.3410:0.1590,0,0,1,0
29,1011,15,0,4.0,77,1.0,1,0,0,1.3410:0.1590:-1.3410:0.1590,0,0,1,1
30,1011,15,0,5.0,96,1.0,1,0,0,1.3410:0.1590:-1.3410:0.1590,0,0,1,1
31,1011,15,0,7.0,135,1.0,1,0,0,1.3410:0.1590:-1.3410:0.1590,0,0,1,1
32,5011,18,0,1.0,20,1.0,1,0,0,1.3422:0.1578:-1.3422:0.1578,0,0,1,0
33,5011,18,0,1.5,29,1.0,1,0,0,1.3422:0.1578:-1.3422:0.1578,0,0,1,0
34,5011,18,0,2.0,38,1.0,1,0,0,1.3422:0.1578:-1.3422:0.1578,0,0,1,0
35,5011,18,0,2.5,48,1.0,1,0,0,1.3422:0.1578:-1.3422:0.1578,0,0,1,0
36,5011,18,0,3.0,58,1.0,1,0,0,1.3422:0.1578:-1.3422:0.1578,0,0,1,0
37,5011,18,0,4.0,77,1.0,1,0,0,1.3422:0.1578:-1.3422:0.1578,0,0,1,1
38,5011,18,0,5.0,96,1.0,1,0,0,1.3422:0.1578:-1.3422:0.1578,0,0,1,1
39,5011,18,0,7.0,135,1.0,1,0,0,1.3422:0.1578:-1.3422:0.1578,0,0,1,1
40,15210,14,2,1.0,25,1.5,1,0,0,0,0,0,1,0
41,15210,14,2,2.0,50,1.5,1,0,0,0,0,0,1,0
42,15210,14,2,3.0,75,1.5,1,0,0,0,0,0,1,0
43,15210,14,2,4.0,100,1.5,1,0,0,0,0,0,1,1
44,15210,14,2,5.0,125,1.5,1,0,0,0,0,0,1,1
45,15210,14,2,7.0,175,1.5,1,0,0,0,0,0,1,1
46,15210,14,2,9.0,192,1.5,1,0,0,0,0,0,1,1
47,15210,14,2,12.0,192,1.5,1,0,0,0,0,0,1,1
48,20210,14,2,1.0,25,2.0,1,0,0,0,0,0,1,0
49,20210,14,2,2.0,50,2.0,1,0,0,0,0,0,1,0
