,ISTXCHANNELMODULATIONEN,PROBENUMTXCYCLES,SYSTXFREQINDEX,TXPGWAVEFORMSTYLE,TXPULSERLE,ELEVAPERINDEX,TXFOCUSLOCCM,NUMTXELEMENTS,size
0,0,1.0,14,0,1.30:0.20:-1.30:0.20,1,0.5,6,2
1,0,1.0,14,0,1.30:0.20:-1.30:0.20,1,1.0,13,2
2,0,1.0,14,0,1.30:0.20:-1.30:0.20,1,1.5,19,2
3,0,1.0,14,0,1.30:0.20:-1.30:0.20,1,2.0,25,2
4,0,1.0,14,0,1.30:0.20:-1.30:0.20,1,2.5,31,2
5,0,1.0,14,0,1.30:0.20:-1.30:0.20,1,3.0,38,2
6,0,1.0,14,0,1.30:0.20:-1.30:0.20,1,3.5,44,2
7,0,1.0,14,0,1.30:0.20:-1.30:0.20,1,4.0,50,2
8,0,1.0,17,0,1.25:0.25:-1.25:0.25,1,0.5,6,2
9,0,1.0,17,0,1.25:0.25:-1.25:0.25,1,1.0,13,2
10,0,1.0,17,0,1.25:0.25:-1.25:0.25,1,1.5,19,2
11,0,1.0,17,0,1.25:0.25:-1.25:0.25,1,2.0,25,2
12,0,1.0,17,0,1.25:0.25:-1.25:0.25,1,2.5,31,2
13,0,1.0,17,0,1.25:0.25:-1.25:0.25,1,3.0,38,2
14,0,1.0,17,0,1.25:0.25:-1.25:0.25,1,3.5,44,2
15,0,1.0,17,0,1.25:0.25:-1.25:0.25,1,4.0,50,2
16,0,1.0,20,0,1.25:0.25:-1.25:0.25,1,0.5,6,2
17,0,1.0,20,0,1.25:0.25:-1.25:0.25,1,1.0,13,2
18,0,1.0,20,0,1.25:0.25:-1.25:0.25,1,1.5,19,2
19,0,1.0,20,0,1.25:0.25:-1.25:0.25,1,2.0,25,2
20,0,1.0,20,0,1.25:0.25:-1.25:0.25,1,2.5,31,2
21,0,1.0,20,0,1.25:0.25:-1.25:0.25,1,3.0,38,2
22,0,1.0,20,0,1.25:0.25:-1.25:0.25,1,3.5,44,2
23,0,1.0,20,0,1.25:0.25:-1.25:0.25,1,4.0,50,2
24,0,1.0,23,0,1.25:0.25:-1.25:0.25,1,0.5,6,2
25,0,1.0,23,0,1.25:0.25:-1.25:0.25,1,1.0,13,2
26,0,1.0,23,0,1.25:0.25:-1.25:0.25,1,1.5,19,2
27,0,1.0,23,0,1.25:0.25:-1.25:0.25,1,2.0,25,2
28,0,1.0,23,0,1.25:0.25:-1.25:0.25,1,2.5,31,2
29,0,1.0,23,0,1.25:0.25:-1.25:0.25,1,3.0,38,2
30,0,1.0,23,0,1.25:0.25:-1.25:0.25,1,3.5,44,2
31,0,1.0,23,0,1.25:0.25:-1.25:0.25,1,4.0,50,2
32,0,3.0,26,1,0,0,0.25,4,3
33,0,3.0,26,1,0,0,0.5,8,3
34,0,3.0,26,1,0,0,0.75,13,3
35,0,3.0,26,1,0,1,1.0,17,3
36,0,3.0,26,1,0,1,1.5,25,3
37,0,3.0,26,1,0,1,2.25,38,3
38,0,3.0,26,1,0,1,3.5,58,3
39,0,3.0,26,1,0,1,5.25,88,3
40,0,3.0,28,1,0,0,0.25,4,3
41,0,3.0,28,1,0,0,0.5,8,3
42,0,3.0,28,1,0,0,0.75,13,3
43,0,3.0,28,1,0,1,1.0,17,3
44,0,3.0,28,1,0,1,1.5,25,3
45,0,3.0,28,1,0,1,2.25,38,3
46,0,3.0,28,1,0,1,3.5,58,3
47,0,3.0,28,1,0,1,5.25,88,3
48,0,4.0,22,1,0,0,0.25,4,3
49,0,4.0,22,1,0,0,0.5,8,3
50,0,4.0,22,1,0,0,0.75,13,3
51,0,4.0,22,1,0,1,1.0,17,3
52,0,4.0,22,1,0,1,1.5,25,3
53,0,4.0,22,1,0,1,2.25,38,3
54,0,4.0,22,1,0,1,3.5,58,3
55,0,4.0,22,1,0,1,5.25,88,3
56,0,4.0,24,1,0,0,0.25,4,3
57,0,4.0,24,1,0,0,0.5,8,3
58,0,4.0,24,1,0,0,0.75,13,3
59,0,4.0,24,1,0,1,1.0,17,3
60,0,4.0,24,1,0,1,1.5,25,3
61,0,4.0,24,1,0,1,2.25,38,3
62,0,4.0,24,1,0,1,3.5,58,3
63,0,4.0,24,1,0,1,5.25,88,3
64,0,4.0,26,1,0,0,0.5,8,3
65,0,4.0,26,1,0,0,0.75,13,3
66,0,4.0,26,1,0,1,1.0,17,3
67,0,4.0,26,1,0,1,1.5,25,3
68,0,4.0,26,1,0,1,2.25,38,3
69,0,4.0,26,1,0,1,3.5,58,3
70,0,4.0,26,1,0,1,5.25,88,3
71,0,4.0,26,1,0,1,7.0,117,3
72,0,4.0,28,1,0,0,0.5,8,3
73,0,4.0,28,1,0,0,0.75,13,3
74,0,4.0,28,1,0,1,1.0,17,3
75,0,4.0,28,1,0,1,1.5,25,3
76,0,4.0,28,1,0,1,2.25,38,3
77,0,4.0,28,1,0,1,3.5,58,3
78,0,4.0,28,1,0,1,5.25,88,3
79,0,4.0,28,1,0,1,7.0,117,3
80,1,1.0,17,0,1.30:0.20:-1.30:0.20,0,0.25,6,2
81,1,1.0,17,0,1.30:0.20:-1.30:0.20,0,0.5,13,2
82,1,1.0,17,0,1.30:0.20:-1.30:0.20,0,0.75,19,2
83,1,1.0,17,0,1.30:0.20:-1.30:0.20,1,1.0,25,2
84,1,1.0,17,0,1.30:0.20:-1.30:0.20,1,1.5,38,2
85,1,1.0,17,0,1.30:0.20:-1.30:0.20,1,2.25,56,2
86,1,1.0,17,0,1.30:0.20:-1.30:0.20,1,3.5,88,2
87,1,1.0,17,0,1.30:0.20:-1.30:0.20,1,5.25,131,2
88,1,1.0,17,0,1.30:0.20:-1.30:0.20,1,7.0,175,2
89,1,1.0,20,0,1.2942:0.2058:-1.2942:0.2058,0,0.25,6,2
90,1,1.0,20,0,1.2942:0.2058:-1.2942:0.2058,0,0.5,13,2
