,SSRId,probeName,reportdate,measSSId,WCSId,measResId,mark,mode,reportTerm_1,XP_Value_1,reportValue_1,Difference_1,Ambient_Temp_1,reportTerm_2,XP_Value_2,reportValue_2,Difference_2,Exam,TXLevel,Depth,Focus,MultiHz,FOVSize,ROISize,zoomFactor,THI,RS,trapzoidal,PowerMode,Scale,gateSizeCm,SSRName,platform,swVersion,systemSn,probeSn,ErrorLog
0,506,16L4,2023-05-02 11:44,30,429,411,P-THI_SSR_B-THI-MI,1,MI,1.200000048,1.191720009,-0.689999998,,Ispta.3,20.09799957,,,Thyroid,0,3.5,1.25,6153800,3.348999977,0,,ON,4,OFF,,79.51999664,0,16L4 Mux change AOP,Griffin r1.5,VA10A (2303.2),NewTrees P1 #21,72290669,
1,507,16L4,2023-05-02 11:53,30,430,412,P-THI_SSR_B-Ispta,1,MI,0.605000019,0.625563383,3.400000095,,Ispta.3,37.17399979,,,Thyroid,0,3.5,3,6153800,3.348999977,0,,ON,5,OFF,,74.55000305,0,16L4 Mux change AOP,Griffin r1.5,VA10A (2303.2),NewTrees P1 #21,72290669,
2,508,16L4,2023-05-02 11:59,30,431,413,_SSR_B-BC-MI,1,MI,1.029999971,1.08513999,5.349999905,,Ispta.3,1.736999989,,,Thyroid,0,6,0.75,6153800,3.348999977,0,,ON,4,OFF,,12.68999958,0,16L4 Mux change AOP,Griffin r1.5,VA10A (2303.2),NewTrees P1 #21,72290669,
3,509,16L4,2023-05-02 12:04,30,432,414,_SSR_C-BC-MI,5,MI,1.5,1.277637243,-14.81999969,,Ispta.3,21.75399971,,,Thyroid,0,6,0.75,6153800,3.348999977,1,,OFF,0,OFF,,82.45999908,0,16L4 Mux change AOP,Griffin r1.5,VA10A (2303.2),NewTrees P1 #21,72290669,
4,510,16L4,2023-05-02 12:17,30,433,415,BM_SSR_B-BC-Ispta,0,MI,0.224000007,0.215875208,-3.630000114,,Ispta.3,0.039000001,,,Thyroid,0,6,0.5,13300000,3.348999977,0,,OFF,0,OFF,,9.970000267,0,16L4 Mux change AOP,Griffin r1.5,VA10A (2303.2),NewTrees P1 #21,72290669,"V-DependentWarnings <err>
z=0.50,V=21.73; Pulse duration error: actual PD=2.80E-6, expected=7.52E-8; 
z=0.60,V=21.73; Pulse duration error: actual PD=4.12E-6, expected=7.52E-8; 
z=1.10,V=27.54; Pulse duration error: actual PD=5.06E-6, expected=7.52E-8; 
z=1.10,V=17.15; Pulse duration error: actual PD=4.15E-6, expected=7.52E-8; 
"
5,511,16L4,2023-05-02 12:29,30,434,416,BM_SSR_C-BC-Ispta,5,MI,0.629000008,0.618287981,-1.700000048,,Ispta.3,139.3910065,,,Thyroid,0,6,4,6153800,3.348999977,1,,OFF,5,OFF,,129.5800018,0,16L4 Mux change AOP,Griffin r1.5,VA10A (2303.2),NewTrees P1 #21,72290669,
6,512,16L4,2023-05-02 12:33,30,435,417,D_SSR_D-MI,10,MI,1.5,1.424926758,,,Ispta.3,426.5050049,429.2135925,,Thyroid,0,6,1.25,6153800,0,0,,OFF,0,OFF,,976.5599976,0.100000001,16L4 Mux change AOP,Griffin r1.0 ,VA10A (2303.2),NewTrees P1 #21,72290669,
7,513,16L4,2023-05-02 12:38,30,436,418,D_SSR_D-Ispta,10,MI,0.986999989,0.965682149,,,Ispta.3,500,504.7283936,,Thyroid,0,6,1.25,6153800,0,0,,OFF,0,OFF,,3004.800049,0.100000001,16L4 Mux change AOP,Griffin r1.0 ,VA10A (2303.2),NewTrees P1 #21,72290669,
8,514,16L4,2023-05-02 12:41,30,437,419,BM_SSR_M-MI,15,MI,1.052000046,0.984098017,,,Ispta.3,50.13700104,55.8546524,,Thyroid,0,0,3,8000000,0,0,,OFF,0,OFF,,720,0,16L4 Mux change AOP,Griffin r1.5,VA10A (2303.2),NewTrees P1 #21,72290669,
9,515,16L4,2023-05-02 12:46,30,438,420,BM_SSR_M-Ispta,15,MI,1.052000046,1.108469963,,,Ispta.3,50.13700104,55.74707794,,Thyroid,0,0,3,8000000,0,0,,OFF,0,OFF,,720,0,16L4 Mux change AOP,Griffin r1.5,VA10A (2303.2),NewTrees P1 #21,72290669,
14,536,16L4,2023-05-03 16:46,30,429,441,P-THI_SSR_B-THI-MI,1,MI,1.200000048,1.198160052,,,Ispta.3,20.09799957,21.08239555,,Thyroid,0,3.5,1.25,6153800,3.348999977,0,,ON,4,OFF,,79.51999664,0,16L4 Mux change AOP,Griffin r1.5,VA10A (2303.2),NewTrees P1 #21,72290669,
15,537,16L4,2023-05-03 16:55,30,430,442,P-THI_SSR_B-Ispta,1,MI,0.605000019,0.629819572,,,Ispta.3,37.17399979,39.33963776,,Thyroid,0,3.5,3,6153800,3.348999977,0,,ON,5,OFF,,74.55000305,0,16L4 Mux change AOP,Griffin r1.5,VA10A (2303.2),NewTrees P1 #21,72290669,
16,538,16L4,2023-05-03 17:01,30,431,443,_SSR_B-BC-MI,1,MI,1.029999971,1.072280049,,,Ispta.3,1.736999989,1.777956724,,Thyroid,0,6,0.75,6153800,3.348999977,0,,ON,4,OFF,,12.68999958,0,16L4 Mux change AOP,Griffin r1.5,VA10A (2303.2),NewTrees P1 #21,72290669,
17,539,16L4,2023-05-03 17:07,30,432,444,_SSR_C-BC-MI,5,MI,1.5,1.270262241,,,Ispta.3,21.75399971,18.04580879,,Thyroid,0,6,0.75,6153800,3.348999977,1,,OFF,0,OFF,,82.45999908,0,16L4 Mux change AOP,Griffin r1.5,VA10A (2303.2),NewTrees P1 #21,72290669,
18,540,16L4,2023-05-03 17:15,30,433,445,BM_SSR_B-BC-Ispta,0,MI,0.224000007,0.214299783,,,Ispta.3,0.039000001,0.065384887,,Thyroid,0,6,0.5,13300000,3.348999977,0,,OFF,0,OFF,,9.970000267,0,16L4 Mux change AOP,Griffin r1.5,VA10A (2303.2),NewTrees P1 #21,72290669,"MeasResultWarnings <err>
meas_res_summary fc out of tolerance: 1.73E+6; 
V-DependentWarnings <err>
z=0.50,V=27.54; Pulse duration error: actual PD=2.27E-6, expected=7.52E-8; 
z=0.50,V=17.15; Pulse duration error: actual PD=3.13E-6, expected=7.52E-8; 
z=1.00,V=17.15; Pulse duration error: actual PD=2.47E-6, expected=7.52E-8; 
"
19,541,16L4,2023-05-03 17:27,30,434,446,BM_SSR_C-BC-Ispta,5,MI,0.629000008,0.614684701,,,Ispta.3,139.3910065,136.6646576,,Thyroid,0,6,4,6153800,3.348999977,1,,OFF,5,OFF,,129.5800018,0,16L4 Mux change AOP,Griffin r1.5,VA10A (2303.2),NewTrees P1 #21,72290669,
20,496,16L4,2023-04-21 15:22,31,394,401,P-THI_Verification and SSR_B-THI-MI,10301,MI,1.200000048,1.199980021,0,,Ispta.3,20.09799957,,,Thyroid,0,3.5,1.25,6153800,3.348999977,0,,ON,4,OFF,,79.51999664,0,Griffin r1.0 Manual update,Griffin r1.0,VA10A (2303.2),griffin P1_#900120,72290669,
21,497,16L4,2023-04-21 15:31,31,395,402,P-THI_Verification and SSR_B-Ispta,10101,MI,0.605000019,0.622873187,2.950000048,,Ispta.3,37.17399979,,,Thyroid,0,3.5,3,6153800,3.348999977,0,,ON,5,OFF,,74.55000305,0,Griffin r1.0 Manual update,Griffin r1.0,VA10A (2303.2),griffin P1_#900120,72290669,
