ProbeName	Mode	Exam	SubModeIndex	BeamStyleIndex	SysTxFreqIndex	TxpgWaveformStyle	TxFocusLocCm	NumTxElements	ProbeNumTxCycles	IsTxChannelModulationEn	IsPresetCpaEn	CpaDelayOffsetClk	TxPulseRle	TxpgWaveformLut	SystemPulserSel	VTxIndex	ElevAperIndex
9C2	B	Abdomen	1	20111	9	1	4	45	2	0	0	0	null	null	0	1	0
9C2	B	Abdomen	1	20111	9	1	6	55	2	0	0	0	null	null	0	1	0
9C2	B	Abdomen	1	20111	9	1	8	61	2	0	0	0	null	null	0	1	0
9C2	B	Abdomen	1	20111	9	1	9.5	65	2	0	0	0	null	null	0	1	0
9C2	B	Abdomen	1	20111	9	1	11	68	2	0	0	0	null	null	0	1	0
9C2	B	Abdomen	1	20111	9	1	13	71	2	0	0	0	null	null	0	1	0
9C2	B	Abdomen	1	20111	9	1	14.5	72	2	0	0	0	null	null	0	1	0
9C2	B	Abdomen	1	20111	9	1	19	77	2	0	0	0	null	null	0	1	0
9C2	B	Abdomen	1	20111	9	1	4	83	2	1	0	0	null	null	0	1	0
9C2	B	Abdomen	1	20111	9	1	6	100	2	1	0	0	null	null	0	1	0
9C2	B	Abdomen	1	20111	9	1	8	111	2	1	0	0	null	null	0	1	0
9C2	B	Abdomen	1	20111	9	1	9.5	117	2	1	0	0	null	null	0	1	0
9C2	B	Abdomen	1	20111	9	1	11	122	2	1	0	0	null	null	0	1	0
9C2	B	Abdomen	1	20111	9	1	13	127	2	1	0	0	null	null	0	1	0
9C2	B	Abdomen	1	20111	9	1	14.5	131	2	1	0	0	null	null	0	1	0
9C2	B	Abdomen	1	20111	9	1	19	138	2	1	0	0	null	null	0	1	0
9C2	B	Abdomen	1	15111	12	1	4	45	1.5	0	0	0	null	null	0	1	0
9C2	B	Abdomen	1	15111	12	1	6	55	1.5	0	0	0	null	null	0	1	0
9C2	B	Abdomen	1	15111	12	1	8	61	1.5	0	0	0	null	null	0	1	0
9C2	B	Abdomen	1	15111	12	1	9.5	65	1.5	0	0	0	null	null	0	1	0
9C2	B	Abdomen	1	15111	12	1	11	68	1.5	0	0	0	null	null	0	1	0
9C2	B	Abdomen	1	15111	12	1	13	71	1.5	0	0	0	null	null	0	1	0
9C2	B	Abdomen	1	15111	12	1	14.5	72	1.5	0	0	0	null	null	0	1	0
9C2	B	Abdomen	1	15111	12	1	19	77	1.5	0	0	0	null	null	0	1	0
9C2	B	Abdomen	1	15111	12	1	4	83	1.5	1	0	0	null	null	0	1	0
9C2	B	Abdomen	1	15111	12	1	6	100	1.5	1	0	0	null	null	0	1	0
9C2	B	Abdomen	1	15111	12	1	8	111	1.5	1	0	0	null	null	0	1	0
9C2	B	Abdomen	1	15111	12	1	9.5	117	1.5	1	0	0	null	null	0	1	0
9C2	B	Abdomen	1	15111	12	1	11	122	1.5	1	0	0	null	null	0	1	0
9C2	B	Abdomen	1	15111	12	1	13	127	1.5	1	0	0	null	null	0	1	0
9C2	B	Abdomen	1	15111	12	1	14.5	131	1.5	1	0	0	null	null	0	1	0
9C2	B	Abdomen	1	15111	12	1	19	138	1.5	1	0	0	null	null	0	1	0
9C2	B	Abdomen	1	20111	14	1	4	45	2	0	0	0	null	null	0	1	0
9C2	B	Abdomen	1	20111	14	1	6	55	2	0	0	0	null	null	0	1	0
9C2	B	Abdomen	1	20111	14	1	8	61	2	0	0	0	null	null	0	1	0
9C2	B	Abdomen	1	20111	14	1	9.5	65	2	0	0	0	null	null	0	1	0
9C2	B	Abdomen	1	20111	14	1	11	68	2	0	0	0	null	null	0	1	0
9C2	B	Abdomen	1	20111	14	1	13	71	2	0	0	0	null	null	0	1	0
9C2	B	Abdomen	1	20111	14	1	14.5	72	2	0	0	0	null	null	0	1	0
9C2	B	Abdomen	1	20111	14	1	19	77	2	0	0	0	null	null	0	1	0
9C2	B	Abdomen	1	20111	14	1	4	83	2	1	0	0	null	null	0	1	0
9C2	B	Abdomen	1	20111	14	1	6	100	2	1	0	0	null	null	0	1	0
9C2	B	Abdomen	1	20111	14	1	8	111	2	1	0	0	null	null	0	1	0
9C2	B	Abdomen	1	20111	14	1	9.5	117	2	1	0	0	null	null	0	1	0
9C2	B	Abdomen	1	20111	14	1	11	122	2	1	0	0	null	null	0	1	0
9C2	B	Abdomen	1	20111	14	1	13	127	2	1	0	0	null	null	0	1	0
9C2	B	Abdomen	1	20111	14	1	14.5	131	2	1	0	0	null	null	0	1	0
9C2	B	Abdomen	1	20111	14	1	19	138	2	1	0	0	null	null	0	1	0
9C2	M	Abdomen	1	20119	9	1	4	45	2	0	0	0	null	null	0	1	0
9C2	M	Abdomen	1	20119	9	1	6	55	2	0	0	0	null	null	0	1	0
9C2	M	Abdomen	1	20119	9	1	8	61	2	0	0	0	null	null	0	1	0
9C2	M	Abdomen	1	20119	9	1	9.5	65	2	0	0	0	null	null	0	1	0
9C2	M	Abdomen	1	20119	9	1	11	68	2	0	0	0	null	null	0	1	0
9C2	M	Abdomen	1	20119	9	1	13	71	2	0	0	0	null	null	0	1	0
9C2	M	Abdomen	1	20119	9	1	14.5	72	2	0	0	0	null	null	0	1	0
9C2	M	Abdomen	1	20119	9	1	19	77	2	0	0	0	null	null	0	1	0
9C2	M	Abdomen	1	20119	9	1	4	83	2	1	0	0	null	null	0	1	0
9C2	M	Abdomen	1	20119	9	1	6	100	2	1	0	0	null	null	0	1	0
9C2	M	Abdomen	1	20119	9	1	8	111	2	1	0	0	null	null	0	1	0
9C2	M	Abdomen	1	20119	9	1	9.5	117	2	1	0	0	null	null	0	1	0
9C2	M	Abdomen	1	20119	9	1	11	122	2	1	0	0	null	null	0	1	0
9C2	M	Abdomen	1	20119	9	1	13	127	2	1	0	0	null	null	0	1	0
9C2	M	Abdomen	1	20119	9	1	14.5	131	2	1	0	0	null	null	0	1	0
9C2	M	Abdomen	1	20119	9	1	19	138	2	1	0	0	null	null	0	1	0
9C2	M	Abdomen	1	15119	12	1	4	45	1.5	0	0	0	null	null	0	1	0
9C2	M	Abdomen	1	15119	12	1	6	55	1.5	0	0	0	null	null	0	1	0
9C2	M	Abdomen	1	15119	12	1	8	61	1.5	0	0	0	null	null	0	1	0
9C2	M	Abdomen	1	15119	12	1	9.5	65	1.5	0	0	0	null	null	0	1	0
9C2	M	Abdomen	1	15119	12	1	11	68	1.5	0	0	0	null	null	0	1	0
9C2	M	Abdomen	1	15119	12	1	13	71	1.5	0	0	0	null	null	0	1	0
9C2	M	Abdomen	1	15119	12	1	14.5	72	1.5	0	0	0	null	null	0	1	0
9C2	M	Abdomen	1	15119	12	1	19	77	1.5	0	0	0	null	null	0	1	0
9C2	M	Abdomen	1	15119	12	1	4	83	1.5	1	0	0	null	null	0	1	0
9C2	M	Abdomen	1	15119	12	1	6	100	1.5	1	0	0	null	null	0	1	0
9C2	M	Abdomen	1	15119	12	1	8	111	1.5	1	0	0	null	null	0	1	0
9C2	M	Abdomen	1	15119	12	1	9.5	117	1.5	1	0	0	null	null	0	1	0
9C2	M	Abdomen	1	15119	12	1	11	122	1.5	1	0	0	null	null	0	1	0
9C2	M	Abdomen	1	15119	12	1	13	127	1.5	1	0	0	null	null	0	1	0
9C2	M	Abdomen	1	15119	12	1	14.5	131	1.5	1	0	0	null	null	0	1	0
9C2	M	Abdomen	1	15119	12	1	19	138	1.5	1	0	0	null	null	0	1	0
9C2	M	Abdomen	1	20119	14	1	4	45	2	0	0	0	null	null	0	1	0
9C2	M	Abdomen	1	20119	14	1	6	55	2	0	0	0	null	null	0	1	0
9C2	M	Abdomen	1	20119	14	1	8	61	2	0	0	0	null	null	0	1	0
9C2	M	Abdomen	1	20119	14	1	9.5	65	2	0	0	0	null	null	0	1	0
9C2	M	Abdomen	1	20119	14	1	11	68	2	0	0	0	null	null	0	1	0
9C2	M	Abdomen	1	20119	14	1	13	71	2	0	0	0	null	null	0	1	0
9C2	M	Abdomen	1	20119	14	1	14.5	72	2	0	0	0	null	null	0	1	0
9C2	M	Abdomen	1	20119	14	1	19	77	2	0	0	0	null	null	0	1	0
9C2	M	Abdomen	1	20119	14	1	4	83	2	1	0	0	null	null	0	1	0
9C2	M	Abdomen	1	20119	14	1	6	100	2	1	0	0	null	null	0	1	0
